"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::PhoneAuthCredential","operator=","firebase::auth::PhoneAuthCredential::operator=","return","PhoneAuthCredential &","PhoneAuthCredential &","auth/src/desktop/auth_providers/phone_auth_provider.cc",96
"firebase::auth::PhoneAuthCredential","sms_code","firebase::auth::PhoneAuthCredential::sms_code","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/phone_auth_provider.cc",102
"firebase::auth::OAuthProvider","operator=","firebase::auth::OAuthProvider::operator=","return","OAuthProvider &","OAuthProvider &","auth/src/include/firebase/auth/credential.h",272
"firebase::auth::OAuthProvider","GetCredential","firebase::auth::OAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/oauth_auth_provider.cc",26
"firebase::auth::OAuthProvider","GetCredential","firebase::auth::OAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/oauth_auth_provider.cc",35
"firebase::auth::GoogleAuthProvider","operator=","firebase::auth::GoogleAuthProvider::operator=","return","GoogleAuthProvider &","GoogleAuthProvider &","auth/src/include/firebase/auth/credential.h",249
"firebase::auth::GoogleAuthProvider","GetCredential","firebase::auth::GoogleAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/google_auth_provider.cc",26
"firebase::auth::GitHubAuthProvider","operator=","firebase::auth::GitHubAuthProvider::operator=","return","GitHubAuthProvider &","GitHubAuthProvider &","auth/src/include/firebase/auth/credential.h",235
"firebase::auth::GitHubAuthProvider","GetCredential","firebase::auth::GitHubAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/github_auth_provider.cc",26
"firebase::auth::TwitterAuthProvider","operator=","firebase::auth::TwitterAuthProvider::operator=","return","TwitterAuthProvider &","TwitterAuthProvider &","auth/src/include/firebase/auth/credential.h",684
"firebase::auth::TwitterAuthProvider","GetCredential","firebase::auth::TwitterAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/twitter_auth_provider.cc",26
"firebase::auth::FacebookAuthProvider","operator=","firebase::auth::FacebookAuthProvider::operator=","return","FacebookAuthProvider &","FacebookAuthProvider &","auth/src/include/firebase/auth/credential.h",199
"firebase::auth::FacebookAuthProvider","GetCredential","firebase::auth::FacebookAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/facebook_auth_provider.cc",26
"firebase::auth::EmailAuthProvider","operator=","firebase::auth::EmailAuthProvider::operator=","return","EmailAuthProvider &","EmailAuthProvider &","auth/src/include/firebase/auth/credential.h",184
"firebase::auth::EmailAuthProvider","GetCredential","firebase::auth::EmailAuthProvider::GetCredential","return","Credential","Credential","auth/src/desktop/auth_providers/email_auth_provider.cc",26
"firebase::auth::IdTokenListener","operator=","firebase::auth::IdTokenListener::operator=","return","IdTokenListener &","IdTokenListener &","auth/src/include/firebase/auth.h",639
"firebase::auth::AuthStateListener","operator=","firebase::auth::AuthStateListener::operator=","return","AuthStateListener &","AuthStateListener &","auth/src/include/firebase/auth.h",606
