"class_name","field_name","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::UserView","user_data_","field","UserData","UserData","auth/src/desktop/user_view.h",168
"firebase::auth::Promise<User>","handle_","field","SafeFutureHandle<User>","SafeFutureHandle<User>","auth/src/desktop/promise.h",81
"firebase::auth::Promise<User>","future_manager_","field","ReferenceCountedFutureImpl &","ReferenceCountedFutureImpl &","auth/src/desktop/promise.h",79
"firebase::auth::Promise<User>","future_","field","Future<User>","Future<User>","auth/src/desktop/promise.h",82
"firebase::auth::AuthDataHandle<AuthResult, SignUpNewUserRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<AuthResult, SignUpNewUserRequest>","request","field","unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>","unique_ptr<SignUpNewUserRequest, default_delete<SignUpNewUserRequest>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<AuthResult, SignUpNewUserRequest>","promise","field","Promise<AuthResult>","Promise<AuthResult>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<AuthResult, SignUpNewUserRequest>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::AuthDataHandle<AuthResult, VerifyPasswordRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<AuthResult, VerifyPasswordRequest>","request","field","unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>","unique_ptr<VerifyPasswordRequest, default_delete<VerifyPasswordRequest>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<AuthResult, VerifyPasswordRequest>","promise","field","Promise<AuthResult>","Promise<AuthResult>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<AuthResult, VerifyPasswordRequest>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::AuthDataHandle<AuthResult, VerifyCustomTokenRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<AuthResult, VerifyCustomTokenRequest>","request","field","unique_ptr<VerifyCustomTokenRequest, default_delete<VerifyCustomTokenRequest>>","unique_ptr<VerifyCustomTokenRequest, default_delete<VerifyCustomTokenRequest>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<AuthResult, VerifyCustomTokenRequest>","promise","field","Promise<AuthResult>","Promise<AuthResult>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<AuthResult, VerifyCustomTokenRequest>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::AuthDataHandle<ResultT, RequestT>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<ResultT, RequestT>","request","field","unique_ptr<RequestT, default_delete<RequestT>>","unique_ptr<RequestT, default_delete<RequestT>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<ResultT, RequestT>","promise","field","Promise<ResultT>","Promise<ResultT>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<ResultT, RequestT>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::AuthDataHandle<User, Request>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<User, Request>","request","field","unique_ptr<Request, default_delete<Request>>","unique_ptr<Request, default_delete<Request>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<User, Request>","promise","field","Promise<User>","Promise<User>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<User, Request>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::EmailAuthCredential","email_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/email_auth_credential.h",41
"firebase::auth::EmailAuthCredential","password_","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_providers/email_auth_credential.h",42
"firebase::auth::AuthDataHandle<AuthResult, Request>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<AuthResult, Request>","request","field","unique_ptr<Request, default_delete<Request>>","unique_ptr<Request, default_delete<Request>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<AuthResult, Request>","promise","field","Promise<AuthResult>","Promise<AuthResult>","auth/src/desktop/auth_data_handle.h",45
